id ,Title,Subtitle,Unit, View,Freq,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,
1,ปริมาณการนำเข้าปุ๋ยเคมีรายสูตรสำคัญ ,ปริมาณการนำเข้าปุ๋ยเคมีสูตร 0-0-60 ,เมตริกตัน,ประเทศ,รายปี,"378,835.26","449,302.84","512,071.10","158,885.04","517,827.69","755,119.54","586,154.69","657,577.65","690,655.52","414,946.29","375,208.93","450,477.89","632,158.82","746,224.43","903,788.35",
2,ปริมาณการนำเข้าปุ๋ยเคมีรายสูตรสำคัญ ,ปริมาณการนำเข้าปุ๋ยเคมีสูตร 13-13-21,เมตริกตัน,ประเทศ,รายปี,"39,120.60","48,058.99","14,081.71","12,535.00","51,613.23","23,671.80","31,325.32","26,600.87","28,415.46","6,570.00","40,861.90",,"4,015.77","30,645.06","35,560.77",
3,ปริมาณการนำเข้าปุ๋ยเคมีรายสูตรสำคัญ ,ปริมาณการนำเข้าปุ๋ยเคมีสูตร 15-15-15,เมตริกตัน,ประเทศ,รายปี,"282,033.47","386,624.60","313,404.05","260,068.68","409,488.09","379,906.48","400,775.84","534,377.55","466,928.85","351,105.63","347,760.10","413,819.01","423,182.60","341,575.31","407,567.05",
4,ปริมาณการนำเข้าปุ๋ยเคมีรายสูตรสำคัญ ,ปริมาณการนำเข้าปุ๋ยเคมีสูตร 16-16-8,เมตริกตัน,ประเทศ,รายปี,"19,800.00","35,491.00","11,810.00","21,973.80","10,795.00","42,736.00","71,223.12","102,448.39","61,589.30","326,571.48","364,851.17","443,225.42","38,887.04","26,469.52","20,570.00",
5,ปริมาณการนำเข้าปุ๋ยเคมีรายสูตรสำคัญ ,ปริมาณการนำเข้าปุ๋ยเคมีสูตร 16-20-0 ,เมตริกตัน,ประเทศ,รายปี,"304,332.00","454,808.75","290,716.00","335,541.00","494,392.97","571,528.45","549,687.67","575,111.62","4,663,231.47","116,991.03","169,400.12","207,092.31","423,057.30","282,465.03",,
6,ปริมาณการนำเข้าปุ๋ยเคมีรายสูตรสำคัญ ,ปริมาณการนำเข้าปุ๋ยเคมีสูตร 18-46-0,เมตริกตัน,ประเทศ,รายปี,"368,825.75","359,424.20","259,742.90","192,724.63","481,343.49","395,044.02","536,805.96","550,257.21","553,592.12","1,865,721.69","2,068,654.00","2,466,886.76","504,391.82","426,394.90","530,840.82",
7,ปริมาณการนำเข้าปุ๋ยเคมีรายสูตรสำคัญ ,ปริมาณการนำเข้าปุ๋ยเคมีสูตร 21-0-0,เมตริกตัน,ประเทศ,รายปี,"227,084.30","268,867.65","233,826.45","232,648.93","350,022.85","276,558.42","282,781.57","191,637.95","143,345.32",,,"181,928.89","60,737.72","308,952.25","433,219.90",
8,ปริมาณการนำเข้าปุ๋ยเคมีรายสูตรสำคัญ ,ปริมาณการนำเข้าปุ๋ยเคมีสูตร 46-0-0,เมตริกตัน,ประเทศ,รายปี,"1,426,732.97","1,692,174.66","1,619,241.81","2,307,783.75","2,121,342.50","2,087,878.88","2,153,689.54","2,170,236.86","2,132,266.41",,,"163,394.00","2,194,286.05","2,113,902.50","1,967,028.89",
9,ปริมาณการนำเข้าปุ๋ยเคมีรายสูตรสำคัญ ,ปริมาณการนำเข้าปุ๋ยเคมีสูตร 16-16-16,เมตริกตัน,ประเทศ,รายปี,,,,,,,,,,"7,277,089,168.00","6,297,406,653.00","7,507,620,070.00","154,906.65","157,768.92","135,941.17",
10,ปริมาณการนำเข้าปุ๋ยเคมีรายสูตรสำคัญ ,ปริมาณการนำเข้าปุ๋ยเคมีสูตร 17-46-0,เมตริกตัน,ประเทศ,รายปี,,,,,,,,,,"209,502,754.00","176,850,708.60",,"504,391.82","134,895.00","91,508.00",
